,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER,ORIGIN,DEST,DEP_TIME,DEP_DEL15,DEP_TIME_BLK,ARR_TIME,ARR_DEL15,DISTANCE
7400,1,6,AS,LAX,SEA,1541.0,0.0,1500-1559,1820.0,0.0,954.0
7401,1,6,AS,SFO,PDX,1209.0,0.0,1200-1259,1343.0,0.0,550.0
7402,1,6,AS,SEA,LAX,1037.0,1.0,1000-1059,1311.0,1.0,954.0
7403,1,6,AS,SEA,LAX,1948.0,0.0,1900-1959,2232.0,0.0,954.0
7404,1,6,AS,PDX,JFK,1353.0,0.0,1400-1459,2139.0,0.0,2454.0
7405,1,6,AS,LAX,JFK,938.0,0.0,0900-0959,1807.0,0.0,2475.0
7406,1,6,AS,LAX,SEA,552.0,0.0,0600-0659,851.0,0.0,954.0
7407,1,6,AS,SEA,SLC,2133.0,0.0,2100-2159,13.0,0.0,689.0
7408,1,6,AS,SLC,SEA,615.0,0.0,0600-0659,801.0,0.0,689.0
7409,1,6,AS,LAX,JFK,2314.0,0.0,2300-2359,754.0,1.0,2475.0
7410,1,6,AS,SEA,ONT,1353.0,0.0,1400-1459,1624.0,0.0,956.0
7411,1,6,AS,LAX,SEA,1122.0,0.0,1100-1159,1359.0,0.0,954.0
7412,1,6,AS,LAX,JFK,1527.0,0.0,1500-1559,2337.0,0.0,2475.0
7413,1,6,AS,LAX,SEA,1246.0,1.0,1200-1259,1536.0,0.0,954.0
7414,1,6,AS,LAS,LAX,624.0,0.0,0600-0659,732.0,0.0,236.0
7415,1,6,AS,RNO,SEA,1622.0,0.0,1600-1659,1809.0,0.0,564.0
7416,1,6,AS,SEA,RNO,1333.0,0.0,1300-1359,1512.0,0.0,564.0
7417,1,6,AS,SEA,MCI,655.0,0.0,0700-0759,1217.0,0.0,1489.0
7418,1,6,AS,SMF,SEA,1827.0,0.0,1800-1859,2022.0,0.0,605.0
7419,1,6,AS,SEA,LAX,1354.0,1.0,1300-1359,1646.0,1.0,954.0
7420,1,6,AS,LAX,PDX,1410.0,1.0,1300-1359,1631.0,0.0,834.0
7421,1,6,AS,SEA,SAN,740.0,0.0,0700-0759,1024.0,0.0,1050.0
7422,1,6,AS,SEA,LAS,607.0,0.0,0600-0659,832.0,0.0,867.0
7423,1,6,AS,SEA,SAT,1236.0,1.0,1200-1259,1828.0,1.0,1774.0
7424,1,6,AS,PDX,LAX,1059.0,0.0,1100-1159,1326.0,0.0,834.0
7425,1,6,AS,SEA,IND,1002.0,0.0,1000-1059,1653.0,0.0,1866.0
7426,1,6,AS,IND,SEA,1821.0,0.0,1800-1859,2035.0,0.0,1866.0
7427,1,6,AS,SEA,SNA,954.0,0.0,0900-0959,1305.0,1.0,978.0
